cluster	type	np	lnl	w1	w2
10052	All	9	-4843.212860	0.11040	0.11040
10052	Tmi	10	-4835.261415	0.09846	0.43035
10052	Tsi	10	-4840.517596	0.10476	0.33196
10052	TmiTsi	10	-4841.460795	0.11993	0.07279
10054	All	9	-3150.514703	0.07521	0.07521
10054	Tmi	10	-3145.089083	0.06657	0.38014
10054	Tsi	10	-3150.514565	0.07517	0.07610
10054	TmiTsi	10	-3150.161950	0.08007	0.05731
10055	All	9	-1986.059174	0.02709	0.02709
10055	Tmi	10	-1986.053810	0.02698	0.03033
10055	Tsi	10	-1985.010771	0.02560	0.10938
10055	TmiTsi	10	-1984.811243	0.02955	0.00705
10056	All	9	-2844.672540	0.02320	0.02320
10056	Tmi	10	-2838.902746	0.01987	0.12954
10056	Tsi	10	-2844.667213	0.02312	0.02627
10056	TmiTsi	10	-2844.351460	0.02456	0.01700
10057	All	9	-4285.662307	0.10246	0.10246
10057	Tmi	10	-4279.364371	0.09223	0.36597
10057	Tsi	10	-4284.350309	0.09894	0.29612
10057	TmiTsi	10	-4285.661902	0.10261	0.10175
10058	All	9	-6009.585085	0.04389	0.04389
10058	Tmi	10	-6007.443657	0.04224	0.12987
10058	Tsi	10	-6006.631675	0.04185	0.14542
10058	TmiTsi	10	-6009.292049	0.04230	0.05379
1006	All	9	-1727.555686	0.07979	0.07979
1006	Tmi	10	-1720.628136	0.07078	999.00000
1006	Tsi	10	-1727.045730	0.07696	0.17468
1006	TmiTsi	10	-1726.312007	0.09068	0.04012
10064	All	9	-1029.080442	0.01660	0.01660
10064	Tmi	10	-1028.103135	0.01415	0.10554
10064	Tsi	10	-1022.719392	0.01171	0.75263
10064	TmiTsi	10	-1027.883315	0.01905	0.00010
10068	All	9	-5911.797416	0.03326	0.03326
10068	Tmi	10	-5909.586430	0.03124	0.07429
10068	Tsi	10	-5907.182061	0.03100	0.21818
10068	TmiTsi	10	-5909.455061	0.02942	0.05614
10069	All	9	-4573.605308	0.04513	0.04513
10069	Tmi	10	-4568.759755	0.04071	0.16941
10069	Tsi	10	-4573.007163	0.04389	0.09497
10069	TmiTsi	10	-4567.554130	0.03597	0.11213
10070	All	9	-3227.681254	0.05225	0.05225
10070	Tmi	10	-3227.237373	0.05354	0.01814
10070	Tsi	10	-3226.172018	0.04972	0.17362
10070	TmiTsi	10	-3227.430079	0.05483	0.04147
10072	All	9	-5401.893204	0.03191	0.03191
10072	Tmi	10	-5398.845237	0.02994	0.12635
10072	Tsi	10	-5400.067231	0.03045	0.09782
10072	TmiTsi	10	-5401.801463	0.03110	0.03605
10073	All	9	-3343.522702	0.09959	0.09959
10073	Tmi	10	-3341.276239	0.09525	0.36192
10073	Tsi	10	-3340.717905	0.09473	0.65813
10073	TmiTsi	10	-3342.904598	0.09320	0.13546
10075	All	9	-911.739513	0.14875	0.14875
10075	Tmi	10	-911.052733	0.15383	0.00010
10075	Tsi	10	-911.717621	0.15033	0.12368
10075	TmiTsi	10	-911.462514	0.13524	0.23304
10077	All	9	-6192.275237	0.06216	0.06216
10077	Tmi	10	-6189.950263	0.05968	0.14938
10077	Tsi	10	-6191.021986	0.06095	0.23573
10077	TmiTsi	10	-6192.222706	0.06311	0.05825
10078	All	9	-4042.274708	0.08899	0.08899
10078	Tmi	10	-4042.018494	0.08680	0.11273
10078	Tsi	10	-4041.037824	0.08534	0.22507
10078	TmiTsi	10	-4042.217783	0.08736	0.09823
10079	All	9	-8396.051746	0.08574	0.08574
10079	Tmi	10	-8393.851733	0.08229	0.15435
10079	Tsi	10	-8392.343823	0.08236	0.38940
10079	TmiTsi	10	-8396.051725	0.08572	0.08586
10082	All	9	-7462.583300	0.05445	0.05445
10082	Tmi	10	-7455.966491	0.05128	0.29370
10082	Tsi	10	-7460.812157	0.05283	0.13198
10082	TmiTsi	10	-7462.545850	0.05512	0.05160
10083	All	9	-12154.751228	0.16626	0.16626
10083	Tmi	10	-12154.243227	0.16411	0.21436
10083	Tsi	10	-12154.630954	0.16719	0.13688
10083	TmiTsi	10	-12154.653465	0.16851	0.15702
10084	All	9	-3319.550391	0.10736	0.10736
10084	Tmi	10	-3313.549782	0.09536	0.44066
10084	Tsi	10	-3317.778365	0.10328	0.61434
10084	TmiTsi	10	-3319.381291	0.11138	0.08966
10085	All	9	-8984.334778	0.07634	0.07634
10085	Tmi	10	-8983.092293	0.07416	0.12169
10085	Tsi	10	-8983.558116	0.07509	0.15981
10085	TmiTsi	10	-8983.028720	0.07178	0.10445
10086	All	9	-1911.897184	0.06452	0.06452
10086	Tmi	10	-1911.452656	0.06170	0.11642
10086	Tsi	10	-1911.827479	0.06531	0.04364
10086	TmiTsi	10	-1910.861509	0.05758	0.14184
10088	All	9	-2907.845393	0.17114	0.17114
10088	Tmi	10	-2907.139536	0.16432	0.33898
10088	Tsi	10	-2906.867257	0.16390	0.38614
10088	TmiTsi	10	-2906.427634	0.15072	0.38757
1009	All	9	-4029.742904	0.03346	0.03346
1009	Tmi	10	-4029.630145	0.03296	0.04471
1009	Tsi	10	-4029.648230	0.03381	0.01341
1009	TmiTsi	10	-4029.742529	0.03352	0.03317
10094	All	9	-11464.107862	0.21433	0.21433
10094	Tmi	10	-11461.170481	0.20567	0.37170
10094	Tsi	10	-11463.575567	0.21124	0.29158
10094	TmiTsi	10	-11463.759514	0.20965	0.24614
10097	All	9	-7921.068306	0.06955	0.06955
10097	Tmi	10	-7917.458590	0.06608	0.18010
10097	Tsi	10	-7910.648021	0.06413	0.44748
10097	TmiTsi	10	-7921.065991	0.06974	0.06864
10098	All	9	-8704.868177	0.03333	0.03333
10098	Tmi	10	-8700.452124	0.03085	0.08746
10098	Tsi	10	-8704.127999	0.03252	0.06016
10098	TmiTsi	10	-8704.763242	0.03403	0.03012
101	All	9	-2015.225907	0.08125	0.08125
101	Tmi	10	-2011.777898	0.07056	0.33187
101	Tsi	10	-2013.756164	0.07581	0.32540
101	TmiTsi	10	-2014.844175	0.07535	0.11357
1010	All	9	-3514.931123	0.02965	0.02965
1010	Tmi	10	-3511.737304	0.02681	0.13978
1010	Tsi	10	-3509.947217	0.02513	0.12780
1010	TmiTsi	10	-3514.772018	0.03070	0.02297
10102	All	9	-6418.008999	0.09789	0.09789
10102	Tmi	10	-6414.744223	0.09262	0.22763
10102	Tsi	10	-6413.609045	0.09273	0.36250
10102	TmiTsi	10	-6417.522449	0.09372	0.11814
10103	All	9	-4271.977899	0.25658	0.25658
10103	Tmi	10	-4271.856677	0.25358	0.30990
10103	Tsi	10	-4271.385035	0.25154	0.54317
10103	TmiTsi	10	-4271.835217	0.24988	0.28665
10108	All	9	-4339.532315	0.05828	0.05828
10108	Tmi	10	-4334.125041	0.05360	0.41747
10108	Tsi	10	-4326.996739	0.05035	4.17280
10108	TmiTsi	10	-4338.349258	0.06334	0.03871
10109	All	9	-15444.228871	0.35546	0.35546
10109	Tmi	10	-15440.029067	0.34029	0.63494
10109	Tsi	10	-15438.953028	0.34010	1.12171
10109	TmiTsi	10	-15444.148356	0.35140	0.37579
10111	All	9	-4235.474478	0.05409	0.05409
10111	Tmi	10	-4230.239854	0.04979	0.30570
10111	Tsi	10	-4231.938818	0.05037	0.22780
10111	TmiTsi	10	-4235.467567	0.05369	0.05553
10115	All	9	-4166.560166	0.14731	0.14731
10115	Tmi	10	-4164.373879	0.13868	0.30690
10115	Tsi	10	-4163.958596	0.13915	0.43895
10115	TmiTsi	10	-4166.497263	0.14991	0.13519
10118	All	9	-4868.081760	0.16516	0.16516
10118	Tmi	10	-4866.660923	0.15959	0.35500
10118	Tsi	10	-4867.580762	0.16830	0.09522
10118	TmiTsi	10	-4867.183708	0.15477	0.23049
10119	All	9	-2852.325652	0.06741	0.06741
10119	Tmi	10	-2851.834524	0.06498	0.11659
10119	Tsi	10	-2851.648541	0.06499	0.14982
10119	TmiTsi	10	-2850.369376	0.05791	0.15923
10121	All	9	-2091.948601	0.10868	0.10868
10121	Tmi	10	-2091.402408	0.10151	0.18015
10121	Tsi	10	-2091.871601	0.10636	0.14597
10121	TmiTsi	10	-2091.834446	0.11430	0.09353
10122	All	9	-3784.282493	0.08956	0.08956
10122	Tmi	10	-3783.333843	0.08691	0.31939
10122	Tsi	10	-3783.343990	0.08654	0.17551
10122	TmiTsi	10	-3784.244024	0.08789	0.09782
10123	All	9	-3064.969679	0.06443	0.06443
10123	Tmi	10	-3064.930144	0.06379	0.07464
10123	Tsi	10	-3064.916870	0.06382	0.08174
10123	TmiTsi	10	-3064.600070	0.06790	0.04571
10125	All	9	-3212.460833	0.13900	0.13900
10125	Tmi	10	-3209.014142	0.12727	0.64679
10125	Tsi	10	-3208.931330	0.12683	0.56230
10125	TmiTsi	10	-3211.037734	0.12552	0.23161
10127	All	9	-6621.558780	0.21558	0.21558
10127	Tmi	10	-6619.583426	0.20719	0.41223
10127	Tsi	10	-6617.995365	0.20505	1.06976
10127	TmiTsi	10	-6621.450318	0.22029	0.19715
1013	All	9	-3892.918439	0.01430	0.01430
1013	Tmi	10	-3888.598090	0.01240	0.06046
1013	Tsi	10	-3890.527545	0.01354	999.00000
1013	TmiTsi	10	-3892.716495	0.01348	0.01778
10132	All	9	-2932.953024	0.14658	0.14658
10132	Tmi	10	-2932.268471	0.15109	0.07300
10132	Tsi	10	-2930.577166	0.15300	0.00010
10132	TmiTsi	10	-2932.754283	0.14060	0.17721
10133	All	9	-1910.934813	0.03432	0.03432
10133	Tmi	10	-1898.797546	0.02555	1.90731
10133	Tsi	10	-1908.680665	0.03135	0.22194
10133	TmiTsi	10	-1910.498435	0.03149	0.05409
10134	All	9	-3746.765446	0.11616	0.11616
10134	Tmi	10	-3745.951773	0.11085	0.24720
10134	Tsi	10	-3745.294104	0.10920	0.27480
10134	TmiTsi	10	-3745.745436	0.12880	0.07232
10136	All	9	-1352.572006	0.10416	0.10416
10136	Tmi	10	-1352.474677	0.10571	0.06375
10136	Tsi	10	-1352.538020	0.10495	0.07686
10136	TmiTsi	10	-1351.735036	0.09318	0.21799
10137	All	9	-2533.905830	0.04118	0.04118
10137	Tmi	10	-2533.519700	0.03999	0.07803
10137	Tsi	10	-2533.783252	0.04052	0.06639
10137	TmiTsi	10	-2533.904657	0.04100	0.04208
10138	All	9	-2371.995593	0.17475	0.17475
10138	Tmi	10	-2371.603055	0.16959	0.26623
10138	Tsi	10	-2371.995548	0.17479	0.17241
10138	TmiTsi	10	-2371.317653	0.16197	0.25226
1014	All	9	-10511.404753	0.23234	0.23234
1014	Tmi	10	-10506.823797	0.22169	0.51441
1014	Tsi	10	-10508.433038	0.22458	0.51837
1014	TmiTsi	10	-10511.380977	0.23383	0.22445
10141	All	9	-1058.473120	0.01640	0.01640
10141	Tmi	10	-1057.872372	0.01520	0.07765
10141	Tsi	10	-1058.390050	0.01664	0.00010
10141	TmiTsi	10	-1058.472156	0.01651	0.01589
10142	All	9	-2413.931674	0.10043	0.10043
10142	Tmi	10	-2413.911557	0.10119	0.09079
10142	Tsi	10	-2413.811736	0.09906	0.17741
10142	TmiTsi	10	-2412.154145	0.11483	0.05048
10144	All	9	-1318.960457	0.04971	0.04971
10144	Tmi	10	-1317.266749	0.04803	999.00000
10144	Tsi	10	-1318.706361	0.05024	0.00010
10144	TmiTsi	10	-1318.897597	0.04809	0.06030
10145	All	9	-10226.898985	0.08663	0.08663
10145	Tmi	10	-10222.568164	0.08277	0.22074
10145	Tsi	10	-10221.366553	0.08270	0.27675
10145	TmiTsi	10	-10225.785532	0.08214	0.10876
10146	All	9	-5861.228168	0.04543	0.04543
10146	Tmi	10	-5859.268786	0.04338	0.10878
10146	Tsi	10	-5860.144409	0.04414	0.11296
10146	TmiTsi	10	-5860.103971	0.04189	0.06485
10149	All	9	-3272.954160	0.11358	0.11358
10149	Tmi	10	-3272.875360	0.11239	0.13994
10149	Tsi	10	-3272.064631	0.11665	0.02459
10149	TmiTsi	10	-3269.017333	0.09655	0.25866
10151	All	9	-16376.839432	0.16747	0.16747
10151	Tmi	10	-16364.296285	0.15735	0.48520
10151	Tsi	10	-16373.258314	0.16241	0.32829
10151	TmiTsi	10	-16376.198213	0.16270	0.19696
10152	All	9	-4516.504802	0.04968	0.04968
10152	Tmi	10	-4516.168888	0.04860	0.07657
10152	Tsi	10	-4516.450880	0.04936	0.06596
10152	TmiTsi	10	-4516.405359	0.05082	0.04202
10153	All	9	-1357.193137	0.61111	0.61111
10153	Tmi	10	-1347.259827	0.48408	999.00000
10153	Tsi	10	-1353.177746	0.51822	4.10911
10153	TmiTsi	10	-1356.184050	0.68349	0.30090
10154	All	9	-14950.957043	0.15704	0.15704
10154	Tmi	10	-14943.342055	0.14856	0.36640
10154	Tsi	10	-14942.123101	0.14821	0.47461
10154	TmiTsi	10	-14949.168314	0.14907	0.20662
10155	All	9	-851.465191	0.14362	0.14362
10155	Tmi	10	-848.980797	0.12664	1.18769
10155	Tsi	10	-851.134257	0.13767	0.30786
10155	TmiTsi	10	-848.530324	0.18469	0.03280
10158	All	9	-8407.692452	0.16110	0.16110
10158	Tmi	10	-8405.462886	0.15525	0.29049
10158	Tsi	10	-8406.039806	0.15687	0.35803
10158	TmiTsi	10	-8407.360866	0.16572	0.13886
10159	All	9	-6895.882260	0.36778	0.36778
10159	Tmi	10	-6888.394176	0.33378	1.44656
10159	Tsi	10	-6888.086607	0.33382	1.41956
10159	TmiTsi	10	-6893.603794	0.40027	0.24861
10161	All	9	-4787.757603	0.12201	0.12201
10161	Tmi	10	-4787.730585	0.12143	0.13483
10161	Tsi	10	-4787.634394	0.12100	0.17871
10161	TmiTsi	10	-4787.256059	0.11633	0.15300
10162	All	9	-6422.536855	0.10740	0.10740
10162	Tmi	10	-6416.221309	0.09937	0.35189
10162	Tsi	10	-6418.962957	0.10174	0.29682
10162	TmiTsi	10	-6422.237769	0.11092	0.09234
10163	All	9	-2668.922850	0.10599	0.10599
10163	Tmi	10	-2668.842400	0.10461	0.13342
10163	Tsi	10	-2667.172866	0.10952	0.00010
10163	TmiTsi	10	-2668.919961	0.10553	0.10957
10167	All	9	-7660.334616	0.08364	0.08364
10167	Tmi	10	-7658.473760	0.08054	0.17139
10167	Tsi	10	-7656.254684	0.07878	0.23080
10167	TmiTsi	10	-7660.260302	0.08228	0.08967
10168	All	9	-2047.217891	0.13209	0.13209
10168	Tmi	10	-2047.111095	0.12978	0.17432
10168	Tsi	10	-2047.097452	0.12997	0.19662
10168	TmiTsi	10	-2047.121186	0.12747	0.15008
10169	All	9	-4342.317367	0.07400	0.07400
10169	Tmi	10	-4342.026576	0.07222	0.09698
10169	Tsi	10	-4340.119604	0.07034	0.27541
10169	TmiTsi	10	-4342.316754	0.07387	0.07465
1017	All	9	-2784.096285	0.08511	0.08511
1017	Tmi	10	-2781.817351	0.07829	0.24186
1017	Tsi	10	-2782.784305	0.08108	0.70400
1017	TmiTsi	10	-2772.161177	0.12477	0.02090
10170	All	9	-7830.274824	0.05526	0.05526
10170	Tmi	10	-7829.657030	0.05409	0.09142
10170	Tsi	10	-7824.366586	0.05180	0.27110
10170	TmiTsi	10	-7829.518680	0.05848	0.04210
10171	All	9	-1518.568172	0.13760	0.13760
10171	Tmi	10	-1517.090256	0.13020	0.89005
10171	Tsi	10	-1518.444991	0.13558	0.24406
10171	TmiTsi	10	-1517.802293	0.12158	0.25619
10172	All	9	-2885.437500	0.12571	0.12571
10172	Tmi	10	-2885.400876	0.12473	0.14343
10172	Tsi	10	-2884.515682	0.12309	999.00000
10172	TmiTsi	10	-2884.980392	0.11900	0.18513
10177	All	9	-2018.532032	0.05596	0.05596
10177	Tmi	10	-2018.394356	0.05437	0.07869
10177	Tsi	10	-2018.447736	0.05523	0.09353
10177	TmiTsi	10	-2018.460878	0.05444	0.06920
10178	All	9	-5324.335245	0.03593	0.03593
10178	Tmi	10	-5321.055859	0.03304	0.10819
10178	Tsi	10	-5323.467307	0.03474	0.08249
10178	TmiTsi	10	-5324.335044	0.03598	0.03573
10180	All	9	-3533.555460	0.10867	0.10867
10180	Tmi	10	-3526.799410	0.09777	0.57686
10180	Tsi	10	-3528.316010	0.10004	0.80850
10180	TmiTsi	10	-3532.879755	0.11542	0.08078
10181	All	9	-5722.445411	0.12123	0.12123
10181	Tmi	10	-5722.030735	0.11898	0.17177
10181	Tsi	10	-5721.197918	0.11752	0.29019
10181	TmiTsi	10	-5721.804063	0.11499	0.14943
10183	All	9	-2790.892520	0.03109	0.03109
10183	Tmi	10	-2787.087621	0.02663	0.09053
10183	Tsi	10	-2790.893222	0.03109	2.44121
10183	TmiTsi	10	-2790.757362	0.03265	0.02654
10184	All	9	-4941.435803	0.12344	0.12344
10184	Tmi	10	-4934.751646	0.11180	0.41224
10184	Tsi	10	-4930.854473	0.11188	2.30435
10184	TmiTsi	10	-4941.104912	0.12844	0.10186
10185	All	9	-7431.916019	0.12953	0.12953
10185	Tmi	10	-7425.832697	0.12111	0.38461
10185	Tsi	10	-7429.266101	0.12410	0.30203
10185	TmiTsi	10	-7431.627493	0.12580	0.15358
10186	All	9	-9884.699061	0.21586	0.21586
10186	Tmi	10	-9877.408431	0.20178	0.60848
10186	Tsi	10	-9874.886518	0.20152	1.18474
10186	TmiTsi	10	-9884.488014	0.22063	0.19568
10187	All	9	-6074.305104	0.04584	0.04584
10187	Tmi	10	-6054.534406	0.03696	0.31373
10187	Tsi	10	-6071.718893	0.04319	0.12736
10187	TmiTsi	10	-6073.651434	0.04834	0.03251
10188	All	9	-437.447478	0.12578	0.12578
10188	Tmi	10	-437.404317	0.12319	0.18782
10188	Tsi	10	-437.270922	0.12063	0.31170
10188	TmiTsi	10	-437.126625	0.11069	0.24124
1019	All	9	-481.055190	0.01701	0.01701
1019	Tmi	10	-481.004350	0.01727	0.00010
1019	Tsi	10	-480.904144	0.01775	0.00010
1019	TmiTsi	10	-481.055079	0.01693	0.01724
10191	All	9	-1042.456569	0.07692	0.07692
10191	Tmi	10	-1042.456447	0.07699	0.07584
10191	Tsi	10	-1042.445540	0.07620	0.08841
10191	TmiTsi	10	-1041.876187	0.06654	0.15042
10193	All	9	-5028.170642	0.13592	0.13592
10193	Tmi	10	-5026.919819	0.13113	0.25474
10193	Tsi	10	-5026.184378	0.12974	0.28737
10193	TmiTsi	10	-5027.367865	0.14338	0.10034
10194	All	9	-3386.530501	0.18215	0.18215
10194	Tmi	10	-3385.032699	0.17600	0.59882
10194	Tsi	10	-3386.057551	0.18509	0.06489
10194	TmiTsi	10	-3384.856475	0.16545	0.30588
10195	All	9	-3718.768668	0.04746	0.04746
10195	Tmi	10	-3714.595375	0.04370	0.20993
10195	Tsi	10	-3716.039811	0.04510	0.33877
10195	TmiTsi	10	-3715.538099	0.05436	0.01857
10196	All	9	-4119.846735	0.11428	0.11428
10196	Tmi	10	-4111.101509	0.09916	0.48715
10196	Tsi	10	-4113.692423	0.10420	0.91191
10196	TmiTsi	10	-4118.359409	0.10240	0.18804
10198	All	9	-5084.945699	0.07571	0.07571
10198	Tmi	10	-5083.800488	0.07740	0.01937
10198	Tsi	10	-5084.720565	0.07661	0.04910
10198	TmiTsi	10	-5084.045406	0.08118	0.05630
10199	All	9	-914.048357	0.01245	0.01245
10199	Tmi	10	-913.755205	0.01301	0.00010
10199	Tsi	10	-910.461741	0.00906	0.30672
10199	TmiTsi	10	-914.028562	0.01205	0.01524
10202	All	9	-11643.730653	0.10150	0.10150
10202	Tmi	10	-11641.660534	0.09850	0.17398
10202	Tsi	10	-11641.399768	0.09886	0.22436
10202	TmiTsi	10	-11643.658424	0.10261	0.09494
10204	All	9	-1447.162405	0.05706	0.05706
10204	Tmi	10	-1446.957480	0.05517	0.08639
10204	Tsi	10	-1445.612022	0.05346	0.46031
10204	TmiTsi	10	-1445.866343	0.06626	0.02837
10206	All	9	-2854.227634	0.01632	0.01632
10206	Tmi	10	-2853.499546	0.01550	0.04691
10206	Tsi	10	-2851.288784	0.01459	0.13451
10206	TmiTsi	10	-2854.183871	0.01682	0.01426
10207	All	9	-1664.467656	0.02940	0.02940
10207	Tmi	10	-1664.157354	0.02989	0.00010
10207	Tsi	10	-1664.065518	0.02998	0.00010
10207	TmiTsi	10	-1664.370855	0.02804	0.03717
10208	All	9	-10204.922677	0.14297	0.14297
10208	Tmi	10	-10200.054069	0.13609	0.32137
10208	Tsi	10	-10202.260855	0.13878	0.34450
10208	TmiTsi	10	-10204.498460	0.14702	0.12181
10209	All	9	-1763.678580	0.05865	0.05865
10209	Tmi	10	-1762.800540	0.05620	0.32983
10209	Tsi	10	-1763.568219	0.05981	0.04160
10209	TmiTsi	10	-1762.794582	0.05246	0.11009
1021	All	9	-1641.941041	0.09363	0.09363
1021	Tmi	10	-1639.940430	0.08954	999.00000
1021	Tsi	10	-1641.906251	0.09451	0.07661
1021	TmiTsi	10	-1640.993753	0.08209	0.16092
10210	All	9	-1698.164696	0.05121	0.05121
10210	Tmi	10	-1698.163188	0.05108	0.05342
10210	Tsi	10	-1697.901879	0.04976	0.11240
10210	TmiTsi	10	-1698.164125	0.05104	0.05221
10213	All	9	-2223.586349	0.03109	0.03109
10213	Tmi	10	-2220.238671	0.02809	0.35008
10213	Tsi	10	-2222.691026	0.03220	0.00010
10213	TmiTsi	10	-2223.457570	0.02990	0.04228
10214	All	9	-2119.033685	0.04329	0.04329
10214	Tmi	10	-2116.437273	0.03851	0.14714
10214	Tsi	10	-2118.818125	0.04437	0.00010
10214	TmiTsi	10	-2118.656916	0.04701	0.02997
1022	All	9	-1683.120530	0.11088	0.11088
1022	Tmi	10	-1681.082928	0.10154	0.40337
1022	Tsi	10	-1682.875080	0.10790	0.17748
1022	TmiTsi	10	-1681.913038	0.12176	0.04156
10221	All	9	-2730.313655	0.01671	0.01671
10221	Tmi	10	-2730.226353	0.01648	0.02711
10221	Tsi	10	-2730.138484	0.01639	0.03487
10221	TmiTsi	10	-2730.141333	0.01766	0.01270
10227	All	9	-2555.855387	0.05991	0.05991
10227	Tmi	10	-2546.168626	0.04735	0.31730
10227	Tsi	10	-2555.567162	0.06083	0.00010
10227	TmiTsi	10	-2555.516325	0.06359	0.04418
10229	All	9	-2184.629885	0.05854	0.05854
10229	Tmi	10	-2182.703938	0.05365	0.17473
10229	Tsi	10	-2184.341233	0.05693	0.10203
