cluster	length	speices	N	S	dN	dS	NdN	SdS	w	lnl
1001	2997	Tsi	2203.3	793.7	0.006922	0.020036	15.2512426	15.9025732	0.3455	-8463.164020
10010	1233	Cid	933.9	299.1	0.022766	0.047983	21.2611674	14.3517153	0.4745	-4141.232592
10010	1233	Dre	933.9	299.1	0.080391	0.441079	75.0771549	131.9267289	0.1823	-4141.232592
10010	1233	Ipu	933.9	299.1	0.212516	1.169257	198.4686924	349.7247687	0.1818	-4141.232592
10010	1233	Tmi	933.9	299.1	0.004914	0.047572	4.5891846	14.2287852	0.1033	-4141.232592
10010	1233	Tsi	933.9	299.1	0.004636	0.067177	4.3295604	20.0926407	0.0690	-4141.232592
10014	1839	Cid	1414.8	424.2	0.020829	0.193452	29.4688692	82.0623384	0.1077	-5872.453313
10014	1839	Dre	1414.8	424.2	0.101046	0.683927	142.9598808	290.1218334	0.1477	-5872.453313
10014	1839	Ipu	1414.8	424.2	0.069188	0.816706	97.8871824	346.4466852	0.0847	-5872.453313
10014	1839	Tmi	1414.8	424.2	0.010652	0.046204	15.0704496	19.5997368	0.2305	-5872.453313
10014	1839	Tsi	1414.8	424.2	0.003904	0.063768	5.5233792	27.0503856	0.0612	-5872.453313
10016	954	Cid	681.1	272.9	0.023081	0.118330	15.7204691	32.292257	0.1951	-3171.647098
10016	954	Dre	681.1	272.9	0.055809	0.388259	38.0115099	105.9558811	0.1437	-3171.647098
10016	954	Ipu	681.1	272.9	0.136112	1.195709	92.7058832	326.3089861	0.1138	-3171.647098
10016	954	Tmi	681.1	272.9	0.009825	0.050681	6.6918075	13.8308449	0.1939	-3171.647098
10016	954	Tsi	681.1	272.9	0.009662	0.045175	6.5807882	12.3282575	0.2139	-3171.647098
10020	1335	Cid	1023.1	311.9	0.023057	0.105973	23.5896167	33.0529787	0.2176	-4178.317667
10020	1335	Dre	1023.1	311.9	0.031223	0.194665	31.9442513	60.7160135	0.1604	-4178.317667
10020	1335	Ipu	1023.1	311.9	0.146907	0.971511	150.3005517	303.0142809	0.1512	-4178.317667
10020	1335	Tmi	1023.1	311.9	0.011135	0.068217	11.3922185	21.2768823	0.1632	-4178.317667
10020	1335	Tsi	1023.1	311.9	0.021328	0.044289	21.8206768	13.8137391	0.4816	-4178.317667
10024	1170	Cid	884.0	286.0	0.008222	0.146947	7.268248	42.026842	0.0560	-3308.647197
10024	1170	Dre	884.0	286.0	0.015319	0.285411	13.541996	81.627546	0.0537	-3308.647197
10024	1170	Ipu	884.0	286.0	0.053217	0.759073	47.043828	217.094878	0.0701	-3308.647197
10024	1170	Tmi	884.0	286.0	0.008750	0.054193	7.735	15.499198	0.1615	-3308.647197
10024	1170	Tsi	884.0	286.0	0.007101	0.080745	6.277284	23.09307	0.0879	-3308.647197
10025	1371	Cid	995.6	375.4	0.005620	0.082417	5.595272	30.9393418	0.0682	-3312.768816
10025	1371	Dre	995.6	375.4	0.008573	0.230875	8.5352788	86.670475	0.0371	-3312.768816
10025	1371	Ipu	995.6	375.4	0.029602	0.723997	29.4717512	271.7884738	0.0409	-3312.768816
10025	1371	Tmi	995.6	375.4	0.002976	0.042197	2.9629056	15.8407538	0.0705	-3312.768816
10025	1371	Tsi	995.6	375.4	0.000001	0.013720	0.0009956	5.150488	0.0001	-3312.768816
10027	366	Cid	261.7	104.3	0.008146	0.052022	2.1318082	5.4258946	0.1566	-961.892108
10027	366	Dre	261.7	104.3	0.003572	0.403021	0.9347924	42.0350903	0.0089	-961.892108
10027	366	Ipu	261.7	104.3	0.062011	1.043153	16.2282787	108.8008579	0.0594	-961.892108
10027	366	Tmi	261.7	104.3	0.011601	0.034716	3.0359817	3.6208788	0.3342	-961.892108
10027	366	Tsi	261.7	104.3	0.008328	0.004837	2.1794376	0.5044991	1.7215	-961.892108
10029	1890	Cid	1450.0	440.0	0.011367	0.136978	16.48215	60.27032	0.0830	-5002.074151
10029	1890	Dre	1450.0	440.0	0.012908	0.331152	18.7166	145.70688	0.0390	-5002.074151
10029	1890	Ipu	1450.0	440.0	0.039690	1.159570	57.5505	510.2108	0.0342	-5002.074151
10029	1890	Tmi	1450.0	440.0	0.005446	0.045295	7.8967	19.9298	0.1202	-5002.074151
10029	1890	Tsi	1450.0	440.0	0.005936	0.042835	8.6072	18.8474	0.1386	-5002.074151
10030	609	Cid	456.1	152.9	0.010091	0.024940	4.6025051	3.813326	0.4046	-1589.958971
10030	609	Dre	456.1	152.9	0.015026	0.139397	6.8533586	21.3138013	0.1078	-1589.958971
10030	609	Ipu	456.1	152.9	0.063626	0.688854	29.0198186	105.3257766	0.0924	-1589.958971
10030	609	Tmi	456.1	152.9	0.013444	0.052902	6.1318084	8.0887158	0.2541	-1589.958971
10030	609	Tsi	456.1	152.9	0.002044	0.016995	0.9322684	2.5985355	0.1203	-1589.958971
10038	657	Cid	489.1	167.9	0.008248	0.098600	4.0340968	16.55494	0.0837	-2092.726182
10038	657	Dre	489.1	167.9	0.026519	0.432051	12.9704429	72.5413629	0.0614	-2092.726182
10038	657	Ipu	489.1	167.9	0.171393	0.982601	83.8283163	164.9787079	0.1744	-2092.726182
10038	657	Tmi	489.1	167.9	0.005651	0.052662	2.7639041	8.8419498	0.1073	-2092.726182
10038	657	Tsi	489.1	167.9	0.008887	0.025230	4.3466317	4.236117	0.3522	-2092.726182
10039	2478	Cid	1894.4	583.6	0.012459	0.159082	23.6023296	92.8402552	0.0783	-7673.459275
10039	2478	Dre	1894.4	583.6	0.041749	0.281463	79.0893056	164.2618068	0.1483	-7673.459275
10039	2478	Ipu	1894.4	583.6	0.103964	1.133659	196.9494016	661.6033924	0.0917	-7673.459275
10039	2478	Tmi	1894.4	583.6	0.011633	0.076927	22.0375552	44.8945972	0.1512	-7673.459275
10039	2478	Tsi	1894.4	583.6	0.007155	0.056006	13.554432	32.6851016	0.1278	-7673.459275
1004	1410	Cid	1079.3	330.7	0.024060	0.229837	25.967958	76.0070959	0.1047	-4431.477122
1004	1410	Dre	1079.3	330.7	0.085784	0.589831	92.5866712	195.0571117	0.1454	-4431.477122
1004	1410	Ipu	1079.3	330.7	0.051263	1.097007	55.3281559	362.7802149	0.0467	-4431.477122
1004	1410	Tmi	1079.3	330.7	0.011118	0.066180	11.9996574	21.885726	0.1680	-4431.477122
1004	1410	Tsi	1079.3	330.7	0.008660	0.015781	9.346738	5.2187767	0.5488	-4431.477122
10043	1281	Cid	967.5	313.5	0.019685	0.116829	19.0452375	36.6258915	0.1685	-3645.018433
10043	1281	Dre	967.5	313.5	0.038972	0.201381	37.70541	63.1329435	0.1935	-3645.018433
10043	1281	Ipu	967.5	313.5	0.075555	1.006638	73.0994625	315.581013	0.0751	-3645.018433
10043	1281	Tmi	967.5	313.5	0.009073	0.060584	8.7781275	18.993084	0.1498	-3645.018433
10043	1281	Tsi	967.5	313.5	0.009915	0.013596	9.5927625	4.262346	0.7292	-3645.018433
10047	1335	Cid	971.3	363.7	0.006487	0.097591	6.3008231	35.4938467	0.0665	-3459.043768
10047	1335	Dre	971.3	363.7	0.016839	0.275758	16.3557207	100.2931846	0.0611	-3459.043768
10047	1335	Ipu	971.3	363.7	0.029797	0.889175	28.9418261	323.3929475	0.0335	-3459.043768
10047	1335	Tmi	971.3	363.7	0.008216	0.048065	7.9802008	17.4812405	0.1709	-3459.043768
10047	1335	Tsi	971.3	363.7	0.004604	0.039560	4.4718652	14.387972	0.1164	-3459.043768
1005	939	Cid	703.6	235.4	0.019596	0.155443	13.7877456	36.5912822	0.1261	-3005.552769
1005	939	Dre	703.6	235.4	0.022376	0.360057	15.7437536	84.7574178	0.0621	-3005.552769
1005	939	Ipu	703.6	235.4	0.183088	1.465000	128.8207168	344.861	0.1250	-3005.552769
1005	939	Tmi	703.6	235.4	0.007725	0.069575	5.43531	16.377955	0.1110	-3005.552769
1005	939	Tsi	703.6	235.4	0.011370	0.037132	7.999932	8.7408728	0.3062	-3005.552769
10052	1680	Cid	1273.0	407.0	0.010109	0.085725	12.868757	34.890075	0.1179	-4830.726120
10052	1680	Dre	1273.0	407.0	0.030882	0.225233	39.312786	91.669831	0.1371	-4830.726120
10052	1680	Ipu	1273.0	407.0	0.107003	1.220499	136.214819	496.743093	0.0877	-4830.726120
10052	1680	Tmi	1273.0	407.0	0.018245	0.048275	23.225885	19.647925	0.3779	-4830.726120
10052	1680	Tsi	1273.0	407.0	0.009246	0.038903	11.770158	15.833521	0.2377	-4830.726120
10054	1011	Cid	763.1	247.9	0.013371	0.197438	10.2034101	48.9448802	0.0677	-3143.220170
10054	1011	Dre	763.1	247.9	0.022052	0.377463	16.8278812	93.5730777	0.0584	-3143.220170
10054	1011	Ipu	763.1	247.9	0.129046	1.945394	98.4750026	482.2631726	0.0663	-3143.220170
10054	1011	Tmi	763.1	247.9	0.016257	0.036823	12.4057167	9.1284217	0.4415	-3143.220170
10054	1011	Tsi	763.1	247.9	0.003829	0.081762	2.9219099	20.2687998	0.0468	-3143.220170
10055	897	Cid	720.9	176.1	0.002708	0.041016	1.9521972	7.2229176	0.0660	-1982.799743
10055	897	Dre	720.9	176.1	0.001403	0.085296	1.0114227	15.0206256	0.0165	-1982.799743
10055	897	Ipu	720.9	176.1	0.043174	1.491049	31.1241366	262.5737289	0.0290	-1982.799743
10055	897	Tmi	720.9	176.1	0.001384	0.047901	0.9977256	8.4353661	0.0289	-1982.799743
10055	897	Tsi	720.9	176.1	0.002762	0.025125	1.9911258	4.4245125	0.1099	-1982.799743
10056	1014	Cid	833.3	180.7	0.012285	0.611460	10.2370905	110.490822	0.0201	-2837.742556
10056	1014	Dre	833.3	180.7	0.038729	1.351658	32.2728757	244.2446006	0.0287	-2837.742556
10056	1014	Ipu	833.3	180.7	0.038103	2.375928	31.7512299	429.3301896	0.0160	-2837.742556
10056	1014	Tmi	833.3	180.7	0.012041	0.084332	10.0337653	15.2387924	0.1428	-2837.742556
10056	1014	Tsi	833.3	180.7	0.001349	0.120527	1.1241217	21.7792289	0.0112	-2837.742556
10057	1356	Cid	1007.1	348.9	0.016509	0.068035	16.6262139	23.7374115	0.2427	-4268.067299
10057	1356	Dre	1007.1	348.9	0.038747	0.266595	39.0221037	93.0149955	0.1453	-4268.067299
10057	1356	Ipu	1007.1	348.9	0.113710	2.367307	114.517341	825.9534123	0.0480	-4268.067299
10057	1356	Tmi	1007.1	348.9	0.020608	0.058705	20.7543168	20.4821745	0.3510	-4268.067299
10057	1356	Tsi	1007.1	348.9	0.006602	0.040197	6.6488742	14.0247333	0.1643	-4268.067299
10058	2205	Cid	1659.9	545.1	0.006842	0.085769	11.3570358	46.7526819	0.0798	-6001.614831
10058	2205	Dre	1659.9	545.1	0.014962	0.575497	24.8354238	313.7034147	0.0260	-6001.614831
10058	2205	Ipu	1659.9	545.1	0.043704	1.051599	72.5442696	573.2266149	0.0416	-6001.614831
10058	2205	Tmi	1659.9	545.1	0.004256	0.040807	7.0645344	22.2438957	0.1043	-6001.614831
10058	2205	Tsi	1659.9	545.1	0.005090	0.040289	8.448891	21.9615339	0.1263	-6001.614831
1006	627	Cid	474.7	152.3	0.023358	0.099959	11.0880426	15.2237557	0.2337	-1715.459813
1006	627	Dre	474.7	152.3	0.022715	0.223970	10.7828105	34.110631	0.1014	-1715.459813
1006	627	Ipu	474.7	152.3	0.058954	1.200546	27.9854638	182.8431558	0.0491	-1715.459813
1006	627	Tmi	474.7	152.3	0.012520	0.000013	5.943244	0.0019799	999.0000	-1715.459813
1006	627	Tsi	474.7	152.3	0.006367	0.051810	3.0224149	7.890663	0.1229	-1715.459813
10064	459	Cid	355.7	103.3	0.002901	0.136373	1.0318857	14.0873309	0.0213	-1019.892907
10064	459	Dre	355.7	103.3	0.000028	0.276905	0.0099596	28.6042865	0.0001	-1019.892907
10064	459	Ipu	355.7	103.3	0.019841	1.456737	7.0574437	150.4809321	0.0136	-1019.892907
10064	459	Tmi	355.7	103.3	0.002879	0.050634	1.0240603	5.2304922	0.0569	-1019.892907
10064	459	Tsi	355.7	103.3	0.008572	0.011606	3.0490604	1.1988998	0.7386	-1019.892907
10068	2331	Cid	1791.5	539.5	0.004730	0.116822	8.473795	63.025469	0.0405	-5901.017707
10068	2331	Dre	1791.5	539.5	0.008123	0.356493	14.5523545	192.3279735	0.0228	-5901.017707
10068	2331	Ipu	1791.5	539.5	0.022841	1.001703	40.9196515	540.4187685	0.0228	-5901.017707
10068	2331	Tmi	1791.5	539.5	0.005792	0.090250	10.376368	48.689875	0.0642	-5901.017707
10068	2331	Tsi	1791.5	539.5	0.003999	0.023295	7.1642085	12.5676525	0.1716	-5901.017707
10069	1719	Cid	1243.8	475.2	0.011200	0.167676	13.93056	79.6796352	0.0668	-4556.656320
10069	1719	Dre	1243.8	475.2	0.008331	0.383841	10.3620978	182.4012432	0.0217	-4556.656320
10069	1719	Ipu	1243.8	475.2	0.026034	1.087296	32.3810892	516.6830592	0.0239	-4556.656320
10069	1719	Tmi	1243.8	475.2	0.008912	0.055161	11.0847456	26.2125072	0.1616	-4556.656320
10069	1719	Tsi	1243.8	475.2	0.002663	0.044347	3.3122394	21.0736944	0.0601	-4556.656320
10070	1224	Cid	877.5	346.5	0.004652	0.171111	4.08213	59.2899615	0.0272	-3221.723606
10070	1224	Dre	877.5	346.5	0.008085	0.268724	7.0945875	93.112866	0.0301	-3221.723606
10070	1224	Ipu	877.5	346.5	0.045565	0.676703	39.9832875	234.4775895	0.0673	-3221.723606
10070	1224	Tmi	877.5	346.5	0.000005	0.052418	0.0043875	18.162837	0.0001	-3221.723606
10070	1224	Tsi	877.5	346.5	0.005819	0.026521	5.1061725	9.1895265	0.2194	-3221.723606
10072	2154	Cid	1596.4	557.6	0.005161	0.113641	8.2390204	63.3662216	0.0454	-5395.676093
10072	2154	Dre	1596.4	557.6	0.006545	0.302195	10.448438	168.503932	0.0217	-5395.676093
10072	2154	Ipu	1596.4	557.6	0.023147	0.915410	36.9518708	510.432616	0.0253	-5395.676093
10072	2154	Tmi	1596.4	557.6	0.003889	0.034400	6.2083996	19.18144	0.1131	-5395.676093
10072	2154	Tsi	1596.4	557.6	0.003192	0.038356	5.0957088	21.3873056	0.0832	-5395.676093
10073	1158	Cid	864.5	293.5	0.011461	0.131032	9.9080345	38.457892	0.0875	-3336.269004
10073	1158	Dre	864.5	293.5	0.022427	0.400346	19.3881415	117.501551	0.0560	-3336.269004
10073	1158	Ipu	864.5	293.5	0.085289	0.814196	73.7323405	238.966526	0.1048	-3336.269004
10073	1158	Tmi	864.5	293.5	0.007867	0.027902	6.8010215	8.189237	0.2820	-3336.269004
10073	1158	Tsi	864.5	293.5	0.006568	0.015309	5.678036	4.4931915	0.4290	-3336.269004
10075	297	Cid	227.7	69.3	0.011120	0.106568	2.532024	7.3851624	0.1043	-908.011246
10075	297	Dre	227.7	69.3	0.029833	0.200423	6.7929741	13.8893139	0.1488	-908.011246
10075	297	Ipu	227.7	69.3	0.148794	1.465879	33.8803938	101.5854147	0.1015	-908.011246
10075	297	Tmi	227.7	69.3	0.000003	0.029946	0.0006831	2.0752578	0.0001	-908.011246
10075	297	Tsi	227.7	69.3	0.008880	0.060567	2.021976	4.1972931	0.1466	-908.011246
10077	2304	Cid	1791.0	513.0	0.012119	0.168279	21.705129	86.327127	0.0720	-6187.905581
10077	2304	Dre	1791.0	513.0	0.019097	0.358185	34.202727	183.748905	0.0533	-6187.905581
10077	2304	Ipu	1791.0	513.0	0.052068	0.949349	93.253788	487.016037	0.0548	-6187.905581
10077	2304	Tmi	1791.0	513.0	0.006182	0.045745	11.071962	23.467185	0.1351	-6187.905581
10077	2304	Tsi	1791.0	513.0	0.002202	0.013224	3.943782	6.783912	0.1665	-6187.905581
10078	1335	Cid	966.4	368.6	0.012188	0.141993	11.7784832	52.3386198	0.0858	-4035.658743
10078	1335	Dre	966.4	368.6	0.022267	0.238065	21.5188288	87.750759	0.0935	-4035.658743
10078	1335	Ipu	966.4	368.6	0.083848	1.382637	81.0307072	509.6399982	0.0606	-4035.658743
10078	1335	Tmi	966.4	368.6	0.013666	0.131405	13.2068224	48.435883	0.1040	-4035.658743
10078	1335	Tsi	966.4	368.6	0.007718	0.038173	7.4586752	14.0705678	0.2022	-4035.658743
10079	2916	Cid	2232.5	683.5	0.014103	0.114610	31.4849475	78.335935	0.1230	-8386.944053
10079	2916	Dre	2232.5	683.5	0.018052	0.295151	40.30109	201.7357085	0.0612	-8386.944053
10079	2916	Ipu	2232.5	683.5	0.093494	1.302126	208.725355	890.003121	0.0718	-8386.944053
10079	2916	Tmi	2232.5	683.5	0.009970	0.074519	22.258025	50.9337365	0.1338	-8386.944053
10079	2916	Tsi	2232.5	683.5	0.005145	0.017017	11.4862125	11.6311195	0.3023	-8386.944053
10082	2748	Cid	2092.2	655.8	0.004764	0.119606	9.9672408	78.4376148	0.0398	-7451.935036
10082	2748	Dre	2092.2	655.8	0.014134	0.403347	29.5711548	264.5149626	0.0350	-7451.935036
10082	2748	Ipu	2092.2	655.8	0.057004	1.007383	119.2637688	660.6417714	0.0566	-7451.935036
10082	2748	Tmi	2092.2	655.8	0.005762	0.022809	12.0552564	14.9581422	0.2526	-7451.935036
10082	2748	Tsi	2092.2	655.8	0.003827	0.038270	8.0068494	25.097466	0.1000	-7451.935036
10083	3840	Cid	2928.6	911.4	0.021461	0.091855	62.8506846	83.716647	0.2336	-12145.222816
10083	3840	Dre	2928.6	911.4	0.057645	0.251418	168.819147	229.1423652	0.2293	-12145.222816
10083	3840	Ipu	2928.6	911.4	0.127937	0.974388	374.6762982	888.0572232	0.1313	-12145.222816
10083	3840	Tmi	2928.6	911.4	0.011518	0.050602	33.7316148	46.1186628	0.2276	-12145.222816
10083	3840	Tsi	2928.6	911.4	0.004344	0.035466	12.7218384	32.3237124	0.1225	-12145.222816
10084	1131	Cid	823.1	307.9	0.006160	0.102782	5.070296	31.6465778	0.0599	-3309.815296
10084	1131	Dre	823.1	307.9	0.010864	0.210016	8.9421584	64.6639264	0.0517	-3309.815296
10084	1131	Ipu	823.1	307.9	0.134702	1.219980	110.8732162	375.631842	0.1104	-3309.815296
10084	1131	Tmi	823.1	307.9	0.017842	0.045489	14.6857502	14.0060631	0.3922	-3309.815296
10084	1131	Tsi	823.1	307.9	0.004842	0.013550	3.9854502	4.172045	0.3573	-3309.815296
10085	3237	Cid	2415.5	821.5	0.010406	0.165136	25.135693	135.659224	0.0630	-8979.780916
10085	3237	Dre	2415.5	821.5	0.014465	0.241514	34.9402075	198.403751	0.0599	-8979.780916
10085	3237	Ipu	2415.5	821.5	0.075538	1.099140	182.462039	902.94351	0.0687	-8979.780916
10085	3237	Tmi	2415.5	821.5	0.007499	0.065097	18.1138345	53.4771855	0.1152	-8979.780916
10085	3237	Tsi	2415.5	821.5	0.002695	0.020541	6.5097725	16.8744315	0.1312	-8979.780916
10086	744	Cid	551.4	192.6	0.010753	0.135928	5.9292042	26.1797328	0.0791	-1907.997297
10086	744	Dre	551.4	192.6	0.006416	0.280025	3.5377824	53.932815	0.0229	-1907.997297
10086	744	Ipu	551.4	192.6	0.038494	0.713011	21.2255916	137.3259186	0.0540	-1907.997297
10086	744	Tmi	551.4	192.6	0.007323	0.063212	4.0379022	12.1746312	0.1158	-1907.997297
10086	744	Tsi	551.4	192.6	0.001891	0.045390	1.0426974	8.742114	0.0417	-1907.997297
10088	807	Cid	603.1	203.9	0.043152	0.186671	26.0249712	38.0622169	0.2312	-2897.820912
10088	807	Dre	603.1	203.9	0.055818	0.352091	33.6638358	71.7913549	0.1585	-2897.820912
10088	807	Ipu	603.1	203.9	0.219048	7.190299	132.1078488	1466.1019661	0.0305	-2897.820912
10088	807	Tmi	603.1	203.9	0.014726	0.055471	8.8812506	11.3105369	0.2655	-2897.820912
10088	807	Tsi	603.1	203.9	0.016168	0.048953	9.7509208	9.9815167	0.3303	-2897.820912
1009	1626	Cid	1191.7	434.3	0.006395	0.094888	7.6209215	41.2098584	0.0674	-4027.733959
1009	1626	Dre	1191.7	434.3	0.007202	0.210035	8.5826234	91.2182005	0.0343	-4027.733959
1009	1626	Ipu	1191.7	434.3	0.028700	1.062220	34.20179	461.322146	0.0270	-4027.733959
1009	1626	Tmi	1191.7	434.3	0.003340	0.063430	3.980278	27.547649	0.0527	-4027.733959
1009	1626	Tsi	1191.7	434.3	0.000002	0.024208	0.0023834	10.5135344	0.0001	-4027.733959
10094	4278	Cid	3098.8	1179.2	0.016055	0.064026	49.751234	75.4994592	0.2507	-11456.088330
10094	4278	Dre	3098.8	1179.2	0.013971	0.114251	43.2933348	134.7247792	0.1223	-11456.088330
10094	4278	Ipu	3098.8	1179.2	0.111340	0.537471	345.020392	633.7858032	0.2072	-11456.088330
10094	4278	Tmi	3098.8	1179.2	0.013899	0.038486	43.0702212	45.3826912	0.3612	-11456.088330
10094	4278	Tsi	3098.8	1179.2	0.007736	0.028967	23.9723168	34.1578864	0.2671	-11456.088330
10097	2880	Cid	2169.7	710.3	0.016959	0.122718	36.7959423	87.1665954	0.1382	-7900.857210
10097	2880	Dre	2169.7	710.3	0.009717	0.276448	21.0829749	196.3610144	0.0352	-7900.857210
10097	2880	Ipu	2169.7	710.3	0.060060	1.129569	130.312182	802.3328607	0.0532	-7900.857210
10097	2880	Tmi	2169.7	710.3	0.007280	0.055172	15.795416	39.1886716	0.1320	-7900.857210
10097	2880	Tsi	2169.7	710.3	0.008660	0.022045	18.789602	15.6585635	0.3928	-7900.857210
10098	3393	Cid	2485.9	907.1	0.003231	0.148502	8.0319429	134.7061642	0.0218	-8696.075176
10098	3393	Dre	2485.9	907.1	0.005196	0.284445	12.9167364	258.0200595	0.0183	-8696.075176
10098	3393	Ipu	2485.9	907.1	0.031214	0.912603	77.5948826	827.8221813	0.0342	-8696.075176
10098	3393	Tmi	2485.9	907.1	0.006032	0.071832	14.9949488	65.1588072	0.0840	-8696.075176
10098	3393	Tsi	2485.9	907.1	0.002556	0.048266	6.3539604	43.7820886	0.0529	-8696.075176
101	678	Cid	532.4	145.6	0.004007	0.269575	2.1333268	39.25012	0.0149	-2007.184576
101	678	Dre	532.4	145.6	0.020782	0.339582	11.0643368	49.4431392	0.0612	-2007.184576
